"YEAR","SEX","Age_group","ENTIDAD_NAME","ENTIDAD","PSY","Dx","mx","all_other","circulatory","diabetes","digestive","homicides","infectious","neoplasms","other_external","perinatal","respiratory","covid"
2021,"MALES",5,"Puebla",21,309420,68,0.000219766013832331,0.387349117124216,0.0102071330850667,0,0.0613121154032168,0.129966163722343,0.0510531640939344,0.132374560269862,0.186945129094017,0,0.0102109738962585,0.0305816433110869
2021,"MALES",5,"Querétaro",22,103933,20,0.000192431662705782,0.274908835305449,0.0343788598465585,0,0.0686102181694788,0,0.0342703521353121,0.102811056405936,0.382209621731328,0,0.0685407042706243,0.0342703521353121
2021,"MALES",5,"Quintana Roo",23,82845,15,0.000181061017562919,0.466947066883359,0.0666708933970055,0,0,0.0667138448379439,0,0,0.333056829068076,0,0.0666113658136153,0
2021,"MALES",5,"San Luis Potosí",24,126374,25,0.000197825502081124,0.317744825544256,0.045419293253574,0,0,0,0,0.136176353804681,0.455267409462595,0,0,0.0453921179348937
2021,"MALES",5,"Sinaloa",25,131140,25,0.00019063596156779,0.181149293363417,0.0451724780576567,0,0,0,0.13551743417297,0.180689912230627,0.367125926060016,0,0.0903449561153135,0
2021,"MALES",5,"Sonora",26,128781,25,0.000194128015778725,0.284232773434725,0.0354517379141298,0,0.107366935558866,0,0.17816105558188,0.141005500793993,0.183124607650842,0,0.0353539246536212,0.0353034644119427
2021,"MALES",5,"Tabasco",27,115920,25,0.000215665976535542,0.386342051612041,0.0644420195773428,0,0,0,0.0328026270236638,0.19317102580602,0.258684686404202,0,0.0645575895767306,0
2021,"MALES",5,"Tamaulipas",28,155138,29,0.000186930345885599,0.224933831886251,0,0,0.0751234198427367,0.0928779139863934,0.0744284760884098,0.14885695217682,0.30935092993098,0,0,0.0744284760884098
2021,"MALES",5,"Tlaxcala",29,61948,12,0.000193710854264867,0.497970220266014,0,0,0.0995940440532029,0.101091698850995,0,0.0995940440532029,0.201749992776585,0,0,0
2021,"MALES",5,"Baja California Sur",3,35338,5,0.000141490746505179,0.249002649118531,0.25085896156738,0,0,0,0,0.123660099393325,0.252720203126969,0,0,0.123758086793795
2021,"MALES",5,"Veracruz",30,341225,71,0.000208073851564217,0.442716164594242,0.0820013332522452,0,0.0163963929360569,0.0164291647591424,0.0327675606522121,0.196605363913273,0.147541740973583,0,0.0491513409783182,0.0163909379409274
2021,"MALES",5,"Yucatán",31,98510,20,0.000203025073596589,0.31214386034553,0,0,0.062428772069106,0,0.125739929609154,0.249715088276424,0.18754357763068,0,0.062428772069106,0
2021,"MALES",5,"Zacatecas",32,80678,16,0.000198319244403679,0.213995236990456,0,0.0706207980322878,0,0.0775116721185949,0,0.141241596064576,0.496630696794086,0,0,0
2021,"MALES",5,"Campeche",4,42793,10,0.000233683079008249,0.598873591989987,0,0,0,0,0,0.199624530663329,0.201501877346683,0,0,0
2021,"MALES",5,"Coahuila",5,148899,27,0.00018133096931477,0.257572076254906,0.064453030451667,0,0.0321516526447825,0,0.0321160472708681,0.256928378166944,0.324662767939964,0,0.0321160472708681,0
2021,"MALES",5,"Colima",6,30939,5,0.000161608326060959,0.198503691686516,0,0,0,0,0.100435154134791,0.298046273861578,0.403014880317115,0,0,0
2021,"MALES",5,"Chiapas",7,319114,71,0.00022249102201721,0.273677757312364,0.0288117112425274,0,0.0866729421343263,0.030413799926945,0.115359922937747,0.17280509487554,0.162654950413896,0,0.0864025474377698,0.0432012737188849
2021,"MALES",5,"Chihuahua",8,168363,32,0.000190065513206583,0.292760128566397,0,0,0.0226448129001954,0.0723706643938562,0.0902895280229817,0.202680089007505,0.229126272679536,0,0.0225684747603607,0.0675600296691684
2021,"MALES",5,"Ciudad de México",9,284762,51,0.000179096930067916,0.380261410624597,0.0660856592935547,0,0.0165233361487264,0.0497404757739326,0.0413392827107253,0.289099907702287,0.0660799789033799,0,0.0495699620281847,0.0412999868146124
2021,"MALES",50,"Aguascalientes",1,34331,369,0.0107483032827474,0.128903307189302,0.147470253443251,0.104350296296102,0.139276177297664,0.012710815780796,0.0122765054466002,0.0613825272330011,0.0468188384468273,0,0.0797972854029014,0.267013993463555
2021,"MALES",50,"Durango",10,45651,459,0.0100545442597095,0.0834849897740892,0.205843064416321,0.122580701281629,0.120517894987752,0.0141020939363262,0.0185027473632648,0.0601339289306107,0.0972933688610343,0,0.0578210855102026,0.21972012493877
